Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,40.61,38.9,38.6,38.1,34.28,33.68,33.18,33.14,31.83,30.45,28.19,27.72,27.12,26.76,26.43,24.95,24.93,24.71,23.54,22.57,22.14,22.58,21.11,20.68,21.23,20.83,20.41,20.05,19.73,19.41
Guinea-Bissau,Climate Watch,Total including LUCF,All GHG,MtCO₂e,4.21,4.18,4.09,4.12,4.34,4.1,4.0,4.24,3.82,3.9,3.76,3.69,3.93,3.93,3.64,3.69,3.68,3.59,3.45,3.28,3.58,3.23,3.01,2.97,3.32,3.29,3.27,3.24,3.2,3.19
Guyana,Climate Watch,Total including LUCF,All GHG,MtCO₂e,19.8,19.26,19.05,18.99,21.59,21.44,21.24,21.09,20.84,13.11,12.85,12.82,12.67,12.36,12.56,12.93,12.53,12.26,12.37,11.62,11.93,11.86,11.71,11.38,11.0,10.22,9.92,9.78,9.79,9.61
Haiti,Climate Watch,Total including LUCF,All GHG,MtCO₂e,11.13,11.03,11.02,11.0,10.74,10.38,9.96,9.67,9.91,9.01,8.45,8.4,8.37,7.95,7.89,7.79,7.91,7.87,7.57,7.39,6.91,6.77,6.62,6.22,5.92,5.14,5.65,6.02,5.61,5.4
Honduras,Climate Watch,Total including LUCF,All GHG,MtCO₂e,28.14,27.9,26.56,27.02,27.36,26.96,26.6,25.82,25.81,23.86,23.72,23.65,23.61,22.88,22.5,21.83,22.07,19.24,18.8,18.78,18.28,19.43,18.88,18.47,18.9,18.13,17.45,17.64,17.33,17.22
Hungary,Climate Watch,Total including LUCF,All GHG,MtCO₂e,62.48,62.9,62.81,60.78,59.82,56.89,56.59,58.95,62.83,64.51,64.55,70.39,71.77,73.95,74.66,75.35,76.52,73.79,75.44,72.54,75.52,74.74,74.82,76.51,74.3,75.99,76.26,75.79,85.68,90.72
Iceland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,2.77,2.83,2.81,2.75,3.23,3.18,3.11,2.95,2.96,3.21,3.33,3.66,3.77,3.76,3.29,3.33,3.26,3.29,3.23,3.39,3.35,3.38,3.24,3.27,3.01,3.08,3.0,3.04,3.24,3.36
India,Climate Watch,Total including LUCF,All GHG,MtCO₂e,3363.6,3360.56,3215.07,3076.48,3003.07,2984.52,2804.34,2740.4,2584.75,2546.79,2438.92,2289.14,2191.17,2045.4,1948.11,1876.85,1787.88,1744.38,1725.86,1477.87,1440.38,1362.33,1331.88,1272.74,1223.65,1158.48,1114.22,1081.28,1056.25,1002.56
Indonesia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1959.71,1692.36,1447.22,1434.46,2067.75,2015.5,1638.39,1702.3,1683.13,1131.73,1487.25,1093.88,1107.1,1664.11,1245.04,1517.63,1168.0,1500.73,1018.47,1190.41,1258.63,1366.9,2134.8,1164.23,1339.1,1302.7,1282.35,1266.98,1246.27,1226.82
Iran,Climate Watch,Total including LUCF,All GHG,MtCO₂e,893.78,925.58,912.77,881.05,844.14,844.13,815.31,793.95,793.62,737.61,734.4,711.29,703.12,667.21,624.34,585.5,548.91,512.73,497.59,507.02,479.36,441.72,439.31,420.32,405.33,394.82,362.41,354.38,332.58,304.22
Iraq,Climate Watch,Total including LUCF,All GHG,MtCO₂e,321.31,304.03,293.1,277.35,254.02,242.06,241.89,228.27,202.12,188.62,172.64,161.56,142.94,146.39,145.73,150.56,129.35,155.36,169.02,160.7,143.44,153.6,162.5,128.94,130.4,132.16,116.1,88.75,62.79,120.15
Ireland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,58.68,60.9,62.7,63.2,61.18,59.29,59.12,60.07,58.7,62.44,63.8,69.05,70.01,71.75,71.16,69.9,70.68,70.42,71.17,68.59,65.39,63.67,60.38,58.95,57.6,56.79,55.37,54.72,54.55,54.02
Israel,Climate Watch,Total including LUCF,All GHG,MtCO₂e,87.26,84.85,88.56,87.03,87.19,85.24,87.08,95.54,89.04,89.28,83.81,84.34,83.66,80.5,76.22,77.58,76.47,75.66,73.68,73.82,68.94,66.72,65.37,62.33,59.22,55.37,52.03,47.95,45.16,44.08
Italy,Climate Watch,Total including LUCF,All GHG,MtCO₂e,376.19,385.22,391.74,396.95,379.58,367.92,387.64,419.63,437.82,448.37,439.76,488.78,503.81,510.6,522.52,521.14,509.42,490.55,481.26,482.85,477.37,469.74,458.31,454.43,457.85,432.42,437.37,443.33,446.34,448.75
Jamaica,Climate Watch,Total including LUCF,All GHG,MtCO₂e,10.15,10.34,8.92,9.27,8.83,8.94,9.13,8.67,9.19,6.44,6.83,8.58,10.99,11.07,9.86,9.9,9.99,9.56,9.39,12.24,12.12,11.8,11.24,11.1,10.76,10.42,10.38,10.18,9.37,9.37
